## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/scratch/eknodel/SCC_samples/cell_lines/RNAseq/sorted_bam/244-1-chu-02-B7-6-3-21_262_315_S21_L003_RNA_HISAT2_genome_aligned_sortedbycoord.bam] OUTPUT=/scratch/eknodel/SCC_samples/cell_lines/RNAseq/sorted_bam/244-1-chu-02-B7-6-3-21_262_315_S21_L003_RNA_HISAT2_genome_aligned_sortedbycoord_mkdup.bam METRICS_FILE=244-1-chu-02-B7-6-3-21_262_315_S21_L003.picard_mkdup_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Sep 22 15:38:52 MST 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	409264	16219875	4552852	0	286456	3206100	165493	0.203923	36843553

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.008207	10930480	0	11038292
2.0	1.657375	1582393	158633	1509835
3.0	2.075364	313571	3222	288452
4.0	2.3445	88865	105	82464
5.0	2.517793	36114	12	34208
6.0	2.629374	18815	5	18243
7.0	2.701219	11377	1	10935
8.0	2.747478	7417	2	7234
9.0	2.777264	5055	1	4896
10.0	2.796443	3649	0	3536
11.0	2.808792	2778	0	2739
12.0	2.816743	2051	0	2001
13.0	2.821863	1647	0	1583
14.0	2.825159	1351	0	1328
15.0	2.827282	1031	0	1001
16.0	2.828649	864	0	858
17.0	2.829528	779	0	750
18.0	2.830095	565	0	567
19.0	2.83046	520	0	513
20.0	2.830695	488	0	486
21.0	2.830846	415	0	377
22.0	2.830943	296	0	292
23.0	2.831006	304	0	308
24.0	2.831047	227	0	216
25.0	2.831073	193	0	199
26.0	2.831089	216	0	214
27.0	2.8311	193	0	178
28.0	2.831107	156	0	148
29.0	2.831111	139	0	142
30.0	2.831114	127	0	116
31.0	2.831116	120	0	121
32.0	2.831117	111	0	110
33.0	2.831118	96	0	85
34.0	2.831119	86	0	84
35.0	2.831119	69	0	74
36.0	2.831119	75	0	76
37.0	2.831119	77	0	80
38.0	2.831119	64	0	51
39.0	2.831119	58	0	64
40.0	2.831119	51	0	55
41.0	2.83112	54	0	45
42.0	2.83112	49	0	44
43.0	2.83112	40	0	42
44.0	2.83112	35	0	36
45.0	2.83112	34	0	38
46.0	2.83112	34	0	31
47.0	2.83112	34	0	31
48.0	2.83112	33	0	29
49.0	2.83112	27	0	29
50.0	2.83112	26	0	23
51.0	2.83112	22	0	26
52.0	2.83112	24	0	18
53.0	2.83112	18	0	17
54.0	2.83112	16	0	21
55.0	2.83112	20	0	21
56.0	2.83112	21	0	17
57.0	2.83112	18	0	18
58.0	2.83112	13	0	13
59.0	2.83112	13	0	13
60.0	2.83112	13	0	18
61.0	2.83112	14	0	10
62.0	2.83112	14	0	9
63.0	2.83112	13	0	13
64.0	2.83112	14	0	16
65.0	2.83112	10	0	9
66.0	2.83112	11	0	14
67.0	2.83112	11	0	8
68.0	2.83112	4	0	5
69.0	2.83112	12	0	14
70.0	2.83112	14	0	9
71.0	2.83112	9	0	8
72.0	2.83112	3	0	4
73.0	2.83112	7	0	7
74.0	2.83112	6	0	6
75.0	2.83112	3	0	5
