## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/scratch/eknodel/SCC_samples/Parent_tumors/processed_bams/gDNA_188_25_2E2_5C_157_036_S57_L004.GRCm38_68.sorted.bam] OUTPUT=/scratch/eknodel/SCC_samples/Parent_tumors/processed_bams/gDNA_188_25_2E2_5C_157_036_S57_L004.GRCm38_68.sorted.mkdup.bam METRICS_FILE=processed_bams/gDNA_188_25_2E2_5C_157_036_S57_L004_normal.picard_mkdup_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Nov 15 15:08:12 MST 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
gDNA_188_25_2E2_5C_157_036_S57_L004	7604	35493561	69237	11086	5070	3841732	145944	0.108297	157037392

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.00368	28253042	0	28366004
2.0	1.804318	3013741	143570	2928239
3.0	2.442988	338151	1157	315292
4.0	2.952457	39484	20	35617
5.0	3.358862	5525	0	4924
6.0	3.683052	1125	0	1021
7.0	3.941659	359	0	342
8.0	4.14795	179	0	172
9.0	4.312509	97	0	93
10.0	4.443778	60	0	60
11.0	4.548492	20	0	20
12.0	4.632022	15	0	14
13.0	4.698655	9	0	12
14.0	4.751808	11	0	8
15.0	4.794208	3	0	4
16.0	4.82803	4	0	4
17.0	4.855011	2	0	1
18.0	4.876533	0	0	0
19.0	4.893702	0	0	0
20.0	4.907397	1	0	1
21.0	4.918322	1	0	1
22.0	4.927036	0	0	0
23.0	4.933988	0	0	0
24.0	4.939533	0	0	0
25.0	4.943957	0	0	0
26.0	4.947486	0	0	0
27.0	4.950301	0	0	0
28.0	4.952546	0	0	0
29.0	4.954337	0	0	0
30.0	4.955766	0	0	0
31.0	4.956906	0	0	0
32.0	4.957815	0	0	0
33.0	4.95854	0	0	0
34.0	4.959119	0	0	0
35.0	4.95958	0	0	0
36.0	4.959949	0	0	0
37.0	4.960242	0	0	0
38.0	4.960476	0	0	0
39.0	4.960663	0	0	0
40.0	4.960812	0	0	0
41.0	4.960931	0	0	0
42.0	4.961026	0	0	0
43.0	4.961102	0	0	0
44.0	4.961162	0	0	0
45.0	4.96121	0	0	0
46.0	4.961249	0	0	0
47.0	4.961279	0	0	0
48.0	4.961304	0	0	0
49.0	4.961323	0	0	0
50.0	4.961339	0	0	0
51.0	4.961351	0	0	0
52.0	4.961361	0	0	0
53.0	4.961369	0	0	0
54.0	4.961375	0	0	0
55.0	4.96138	0	0	0
56.0	4.961384	0	0	0
57.0	4.961388	0	0	0
58.0	4.96139	0	0	0
59.0	4.961392	0	0	0
60.0	4.961394	0	0	0
61.0	4.961395	0	0	0
62.0	4.961396	0	0	0
63.0	4.961397	0	0	0
64.0	4.961398	0	0	0
65.0	4.961398	0	0	0
66.0	4.961399	0	0	0
67.0	4.961399	0	0	0
68.0	4.961399	0	0	0
69.0	4.961399	0	0	0
70.0	4.9614	0	0	0
71.0	4.9614	0	0	0
72.0	4.9614	0	0	0
73.0	4.9614	0	0	0
74.0	4.9614	0	0	0
75.0	4.9614	0	0	0
76.0	4.9614	0	0	0
77.0	4.9614	0	0	0
78.0	4.9614	0	0	0
79.0	4.9614	0	0	0
80.0	4.9614	0	0	0
81.0	4.9614	0	0	0
82.0	4.9614	0	0	0
83.0	4.9614	0	0	0
84.0	4.9614	0	0	0
85.0	4.9614	0	0	0
86.0	4.9614	0	0	0
87.0	4.9614	0	0	0
88.0	4.9614	0	0	0
89.0	4.9614	0	0	0
90.0	4.9614	0	0	0
91.0	4.9614	0	0	0
92.0	4.9614	0	0	0
93.0	4.9614	0	0	0
94.0	4.9614	0	0	0
95.0	4.9614	0	0	0
96.0	4.9614	0	0	0
97.0	4.9614	0	0	0
98.0	4.9614	0	0	0
99.0	4.9614	0	0	0
100.0	4.9614	0	0	0

