## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/scratch/eknodel/SCC_samples/Parent_tumors/processed_bams/gDNA_244_25_2E1_chu_329_248_S59_L004.GRCm38_68.sorted.bam] OUTPUT=/scratch/eknodel/SCC_samples/Parent_tumors/processed_bams/gDNA_244_25_2E1_chu_329_248_S59_L004.GRCm38_68.sorted.mkdup.bam METRICS_FILE=processed_bams/gDNA_244_25_2E1_chu_329_248_S59_L004_normal.picard_mkdup_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Nov 15 15:08:14 MST 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
gDNA_244_25_2E1_chu_329_248_S59_L004	6382	35109968	85585	8782	4214	4165332	154943	0.118686	140446819

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.003902	27312926	0	27430675
2.0	1.785751	3178979	152261	3091573
3.0	2.394663	390513	1323	365740
4.0	2.86889	50902	12	46326
5.0	3.238223	7852	0	7029
6.0	3.525864	1864	0	1742
7.0	3.749881	704	0	673
8.0	3.924348	357	0	357
9.0	4.060225	214	0	204
10.0	4.166047	134	0	131
11.0	4.248463	77	0	78
12.0	4.312649	44	0	42
13.0	4.362637	25	0	23
14.0	4.401569	11	0	10
15.0	4.43189	12	0	13
16.0	4.455504	7	0	7
17.0	4.473894	4	0	2
18.0	4.488217	2	0	2
19.0	4.499372	4	0	4
20.0	4.50806	1	0	1
21.0	4.514825	2	0	2
22.0	4.520095	0	0	0
23.0	4.524199	0	0	0
24.0	4.527395	0	0	0
25.0	4.529884	0	0	0
26.0	4.531823	0	0	0
27.0	4.533332	1	0	2
28.0	4.534508	1	0	0
29.0	4.535424	0	0	0
30.0	4.536137	0	0	0
31.0	4.536693	0	0	0
32.0	4.537125	0	0	0
33.0	4.537462	0	0	0
34.0	4.537724	0	0	0
35.0	4.537929	0	0	0
36.0	4.538088	0	0	0
37.0	4.538212	0	0	0
38.0	4.538308	0	0	0
39.0	4.538384	0	0	0
40.0	4.538442	0	0	0
41.0	4.538488	0	0	0
42.0	4.538523	0	0	0
43.0	4.538551	0	0	0
44.0	4.538572	0	0	0
45.0	4.538589	0	0	0
46.0	4.538602	0	0	0
47.0	4.538612	0	0	0
48.0	4.53862	0	0	0
49.0	4.538627	0	0	0
50.0	4.538631	0	0	0
51.0	4.538635	0	0	0
52.0	4.538638	0	0	0
53.0	4.53864	0	0	0
54.0	4.538642	0	0	0
55.0	4.538643	0	0	0
56.0	4.538645	0	0	0
57.0	4.538645	0	0	0
58.0	4.538646	0	0	0
59.0	4.538646	0	0	0
60.0	4.538647	0	0	0
61.0	4.538647	0	0	0
62.0	4.538647	0	0	0
63.0	4.538648	0	0	0
64.0	4.538648	0	0	0
65.0	4.538648	0	0	0
66.0	4.538648	0	0	0
67.0	4.538648	0	0	0
68.0	4.538648	0	0	0
69.0	4.538648	0	0	0
70.0	4.538648	0	0	0
71.0	4.538648	0	0	0
72.0	4.538648	0	0	0
73.0	4.538648	0	0	0
74.0	4.538648	0	0	0
75.0	4.538648	0	0	0
76.0	4.538648	0	0	0
77.0	4.538648	0	0	0
78.0	4.538648	0	0	0
79.0	4.538648	0	0	0
80.0	4.538648	0	0	0
81.0	4.538648	0	0	0
82.0	4.538648	0	0	0
83.0	4.538648	0	0	0
84.0	4.538648	0	0	0
85.0	4.538648	0	0	0
86.0	4.538648	0	0	0
87.0	4.538648	0	0	0
88.0	4.538648	0	0	0
89.0	4.538648	0	0	0
90.0	4.538648	0	0	0
91.0	4.538648	0	0	0
92.0	4.538648	0	0	0
93.0	4.538648	0	0	0
94.0	4.538648	0	0	0
95.0	4.538648	0	0	0
96.0	4.538648	0	0	0
97.0	4.538648	0	0	0
98.0	4.538648	0	0	0
99.0	4.538648	0	0	0
100.0	4.538648	0	0	0

