## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/scratch/eknodel/SCC_samples/cell_lines/RNAseq/sorted_bam/244-1-chu-02-B7-6-22-21_202_375_S26_L003_RNA_HISAT2_genome_aligned_sortedbycoord.bam] OUTPUT=/scratch/eknodel/SCC_samples/cell_lines/RNAseq/sorted_bam/244-1-chu-02-B7-6-22-21_202_375_S26_L003_RNA_HISAT2_genome_aligned_sortedbycoord_mkdup.bam METRICS_FILE=244-1-chu-02-B7-6-22-21_202_375_S26_L003.picard_mkdup_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Sep 22 15:38:51 MST 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	467926	15319014	4739697	0	332061	2993615	140788	0.203154	35141135

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.007401	10417721	0	10511524
2.0	1.658852	1444720	135451	1379466
3.0	2.080121	282200	2498	261662
4.0	2.352541	82871	84	77787
5.0	2.528705	35250	7	33907
6.0	2.642624	18572	6	18022
7.0	2.716292	11280	1	11007
8.0	2.76393	7614	1	7411
9.0	2.794736	5198	1	5047
10.0	2.814657	3701	0	3607
11.0	2.827539	2801	1	2759
12.0	2.835869	2112	0	2063
13.0	2.841256	1636	0	1600
14.0	2.84474	1304	0	1282
15.0	2.846993	1097	0	1073
16.0	2.848449	912	0	912
17.0	2.849391	774	0	748
18.0	2.850001	631	0	602
19.0	2.850394	552	0	550
20.0	2.850649	460	0	447
21.0	2.850814	386	0	393
22.0	2.85092	334	0	323
23.0	2.850989	310	0	310
24.0	2.851034	228	0	209
25.0	2.851063	212	0	220
26.0	2.851081	196	0	196
27.0	2.851093	196	0	186
28.0	2.851101	171	0	172
29.0	2.851106	147	0	136
30.0	2.851109	120	0	128
31.0	2.851112	128	0	117
32.0	2.851113	107	0	103
33.0	2.851114	79	0	69
34.0	2.851114	77	0	79
35.0	2.851115	68	0	65
36.0	2.851115	68	0	83
37.0	2.851115	70	0	62
38.0	2.851115	58	0	57
39.0	2.851115	55	0	58
40.0	2.851115	60	0	61
41.0	2.851115	63	0	53
42.0	2.851115	44	0	48
43.0	2.851115	40	0	33
44.0	2.851115	45	0	41
45.0	2.851115	34	0	43
46.0	2.851115	33	0	36
47.0	2.851115	39	0	29
48.0	2.851115	22	0	19
49.0	2.851115	25	0	27
50.0	2.851115	23	0	25
51.0	2.851115	32	0	28
52.0	2.851115	16	0	18
53.0	2.851115	20	0	22
54.0	2.851115	22	0	15
55.0	2.851115	16	0	15
56.0	2.851115	19	0	19
57.0	2.851115	13	0	13
58.0	2.851115	10	0	15
59.0	2.851115	20	0	20
60.0	2.851115	12	0	19
61.0	2.851115	16	0	13
62.0	2.851115	23	0	13
63.0	2.851115	12	0	14
64.0	2.851115	13	0	11
65.0	2.851115	8	0	9
66.0	2.851115	10	0	9
67.0	2.851115	6	0	12
68.0	2.851115	10	0	8
69.0	2.851115	9	0	8
70.0	2.851115	9	0	9
71.0	2.851115	12	0	11
72.0	2.851115	10	0	7
73.0	2.851115	7	0	7
74.0	2.851115	7	0	10
75.0	2.851115	9	0	4
76.0	2.851115	3	0	8
77.0	2.851115	4	0	6
78.0	2.851115	11	0	5
79.0	2.851115	5	0	5
80.0	2.851115	3	0	1
81.0	2.851115	2	0	5
82.0	2.851115	5	0	8
83.0	2.851115	8	0	7
84.0	2.851115	6	0	4
85.0	2.851115	6	0	4
86.0	2.851115	3	0	5
87.0	2.851115	7	0	4
88.0	2.851115	2	0	5
89.0	2.851115	4	0	2
90.0	2.851115	1	0	1
91.0	2.851115	1	0	2
92.0	2.851115	5	0	8
93.0	2.851115	4	0	4
94.0	2.851115	2	0	5
95.0	2.851115	5	0	1
96.0	2.851115	3	0	3
97.0	2.851115	4	0	1
98.0	2.851115	2	0	2
99.0	2.851115	1	0	0
100.0	2.851115	2	0	2
101.0	0	0	0	1
102.0	0	0	0	4
103.0	0	3	0	2
104.0	0	3	0	1
105.0	0	1	0	1
106.0	0	2	0	1
108.0	0	3	0	4
109.0	0	1	0	3
110.0	0	3	0	0
111.0	0	1	0	1
112.0	0	2	0	2
114.0	0	1	0	0
115.0	0	3	0	5
116.0	0	1	0	1
117.0	0	2	0	2
118.0	0	2	0	1
119.0	0	1	0	1
120.0	0	0	0	1
122.0	0	1	0	0
124.0	0	2	0	4
125.0	0	2	0	1
126.0	0	0	0	1
127.0	0	2	0	1
128.0	0	1	0	3
129.0	0	3	0	1
130.0	0	2	0	0
132.0	0	1	0	2
133.0	0	1	0	0
134.0	0	1	0	3
135.0	0	1	0	0
136.0	0	1	0	0
137.0	0	0	0	1
139.0	0	1	0	1
140.0	0	0	0	1
141.0	0	1	0	0
142.0	0	1	0	1
143.0	0	1	0	1
144.0	0	1	0	1
146.0	0	0	0	1
148.0	0	3	0	2
149.0	0	1	0	2
150.0	0	2	0	1
151.0	0	2	0	2
152.0	0	0	0	1
153.0	0	1	0	0
156.0	0	0	0	3
157.0	0	2	0	0
158.0	0	2	0	1
160.0	0	1	0	0
162.0	0	0	0	1
164.0	0	2	0	1
165.0	0	0	0	1
166.0	0	1	0	1
168.0	0	1	0	1
169.0	0	1	0	1
171.0	0	1	0	0
173.0	0	0	0	1
174.0	0	0	0	1
175.0	0	4	0	2
179.0	0	1	0	1
185.0	0	0	0	2
186.0	0	1	0	0
189.0	0	0	0	2
190.0	0	1	0	0
191.0	0	0	0	1
192.0	0	1	0	0
193.0	0	1	0	1
