## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/scratch/eknodel/SCC_samples/Parent_tumors/processed_bams/gDNA_185_25_2E1_5C_365_212_S56_L004.GRCm38_68.sorted.bam] OUTPUT=/scratch/eknodel/SCC_samples/Parent_tumors/processed_bams/gDNA_185_25_2E1_5C_365_212_S56_L004.GRCm38_68.sorted.mkdup.bam METRICS_FILE=processed_bams/gDNA_185_25_2E1_5C_365_212_S56_L004_normal.picard_mkdup_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Nov 11 15:57:08 MST 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
gDNA_185_25_2E1_5C_365_212_S56_L004	5938	32639296	78286	8034	3749	3731867	142392	0.114384	136059107

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.003877	25636856	0	25746083
2.0	1.793641	2875754	139962	2793719
3.0	2.41496	342886	1194	320629
4.0	2.90376	42722	14	38630
5.0	3.288306	6601	0	5883
6.0	3.590833	1434	0	1348
7.0	3.828836	543	0	514
8.0	4.016076	284	0	284
9.0	4.16338	139	0	137
10.0	4.279266	82	0	76
11.0	4.370436	50	0	48
12.0	4.44216	28	0	28
13.0	4.498586	15	0	15
14.0	4.542978	11	0	12
15.0	4.577901	8	0	7
16.0	4.605376	6	0	6
17.0	4.626991	5	0	5
18.0	4.643995	2	0	2
19.0	4.657373	1	0	1
20.0	4.667898	0	0	0
21.0	4.676177	2	0	2
22.0	4.682691	0	0	0
23.0	4.687816	0	0	0
24.0	4.691847	0	0	0
25.0	4.695019	0	0	0
26.0	4.697514	0	0	0
27.0	4.699477	0	0	0
28.0	4.701021	0	0	0
29.0	4.702236	0	0	0
30.0	4.703192	0	0	0
31.0	4.703944	0	0	0
32.0	4.704536	0	0	0
33.0	4.705001	0	0	0
34.0	4.705367	0	0	0
35.0	4.705655	0	0	0
36.0	4.705882	0	0	0
37.0	4.70606	0	0	0
38.0	4.7062	0	0	0
39.0	4.706311	0	0	0
40.0	4.706397	0	0	0
41.0	4.706466	0	0	0
42.0	4.70652	0	0	0
43.0	4.706562	0	0	0
44.0	4.706595	0	0	0
45.0	4.706621	0	0	0
46.0	4.706642	0	0	0
47.0	4.706658	0	0	0
48.0	4.706671	0	0	0
49.0	4.706681	0	0	0
50.0	4.706689	0	0	0
51.0	4.706695	0	0	0
52.0	4.7067	0	0	0
53.0	4.706704	0	0	0
54.0	4.706707	0	0	0
55.0	4.706709	0	0	0
56.0	4.706711	0	0	0
57.0	4.706712	0	0	0
58.0	4.706713	0	0	0
59.0	4.706714	0	0	0
60.0	4.706715	0	0	0
61.0	4.706716	0	0	0
62.0	4.706716	0	0	0
63.0	4.706716	0	0	0
64.0	4.706717	0	0	0
65.0	4.706717	0	0	0
66.0	4.706717	0	0	0
67.0	4.706717	0	0	0
68.0	4.706717	0	0	0
69.0	4.706717	0	0	0
70.0	4.706717	0	0	0
71.0	4.706717	0	0	0
72.0	4.706718	0	0	0
73.0	4.706718	0	0	0
74.0	4.706718	0	0	0
75.0	4.706718	0	0	0
76.0	4.706718	0	0	0
77.0	4.706718	0	0	0
78.0	4.706718	0	0	0
79.0	4.706718	0	0	0
80.0	4.706718	0	0	0
81.0	4.706718	0	0	0
82.0	4.706718	0	0	0
83.0	4.706718	0	0	0
84.0	4.706718	0	0	0
85.0	4.706718	0	0	0
86.0	4.706718	0	0	0
87.0	4.706718	0	0	0
88.0	4.706718	0	0	0
89.0	4.706718	0	0	0
90.0	4.706718	0	0	0
91.0	4.706718	0	0	0
92.0	4.706718	0	0	0
93.0	4.706718	0	0	0
94.0	4.706718	0	0	0
95.0	4.706718	0	0	0
96.0	4.706718	0	0	0
97.0	4.706718	0	0	0
98.0	4.706718	0	0	0
99.0	4.706718	0	0	0
100.0	4.706718	0	0	0

