## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/scratch/eknodel/SCC_samples/Progeny/RNAseq/sorted_bam/483_sc_01_B6-2_354_223_S59_L003_RNA_HISAT2_genome_aligned_sortedbycoord.bam] OUTPUT=/scratch/eknodel/SCC_samples/Progeny/RNAseq/sorted_bam/483_sc_01_B6-2_354_223_S59_L003_RNA_HISAT2_genome_aligned_sortedbycoord_mkdup.bam METRICS_FILE=483_sc_01_B6-2_354_223_S59_L003.picard_mkdup_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Sep 27 11:23:53 MST 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	492429	13728722	4396047	0	328903	2345434	140386	0.179599	37204366

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.008543	9842261	0	9933464
2.0	1.70587	1166198	132797	1104877
3.0	2.188015	234117	3528	213483
4.0	2.52138	68492	149	62635
5.0	2.751874	27653	16	25911
6.0	2.911243	14133	2	13447
7.0	3.021434	8315	2	8056
8.0	3.097622	5262	0	5060
9.0	3.1503	3725	0	3592
10.0	3.186722	2524	0	2436
11.0	3.211905	1908	0	1879
12.0	3.229318	1426	0	1374
13.0	3.241357	1202	0	1172
14.0	3.249681	884	0	860
15.0	3.255436	738	0	723
16.0	3.259416	586	0	584
17.0	3.262167	543	0	500
18.0	3.26407	367	0	352
19.0	3.265385	362	0	374
20.0	3.266294	314	0	318
21.0	3.266923	287	0	250
22.0	3.267358	206	0	210
23.0	3.267659	192	0	184
24.0	3.267866	151	0	141
25.0	3.26801	119	0	118
26.0	3.268109	104	0	91
27.0	3.268178	83	0	95
28.0	3.268226	85	0	69
29.0	3.268259	89	0	101
30.0	3.268281	72	0	68
31.0	3.268297	54	0	51
32.0	3.268308	57	0	49
33.0	3.268315	52	0	64
34.0	3.268321	53	0	47
35.0	3.268324	49	0	50
36.0	3.268327	46	0	37
37.0	3.268328	29	0	33
38.0	3.268329	44	0	45
39.0	3.26833	36	0	28
40.0	3.268331	27	0	32
41.0	3.268331	28	0	23
42.0	3.268332	21	0	20
43.0	3.268332	18	0	21
44.0	3.268332	15	0	15
45.0	3.268332	25	0	20
46.0	3.268332	17	0	21
47.0	3.268332	20	0	22
48.0	3.268332	19	0	13
49.0	3.268332	8	0	8
50.0	3.268332	13	0	14
51.0	3.268332	20	0	16
52.0	3.268332	11	0	15
53.0	3.268332	15	0	11
54.0	3.268332	11	0	11
55.0	3.268332	4	0	4
56.0	3.268332	7	0	8
57.0	3.268332	11	0	11
58.0	3.268332	3	0	4
59.0	3.268332	7	0	5
60.0	3.268332	8	0	9
61.0	3.268332	9	0	9
62.0	3.268332	7	0	7
63.0	3.268332	7	0	7
64.0	3.268332	6	0	4
65.0	3.268332	3	0	3
66.0	3.268332	5	0	3
67.0	3.268332	4	0	4
68.0	3.268332	2	0	2
69.0	3.268332	1	0	3
70.0	3.268332	3	0	4
71.0	3.268332	4	0	3
72.0	3.268332	2	0	1
73.0	3.268332	4	0	5
74.0	3.268332	4	0	5
